Station Name,WMO Station Number,National Station Id Number,Period,Element-Statistic Qualifier Code,Statistic Description,Unit,Jan,Jan Footnotes,Feb,Feb Footnotes,Mar,Mar Footnotes,Apr,Apr Footnotes,May,May Footnotes,Jun,Jun Footnotes,Jul,Jul Footnotes,Aug,Aug Footnotes,Sep,Sep Footnotes,Oct,Oct Footnotes,Nov,Nov Footnotes,Dec,Dec Footnotes,Annual,Annual Footnotes,Annual NCDC Computed Value,Annual NCDC Computed Value Footnotes
TABRIZ,40706,,1961-1990,,Mean Monthly Value,mm,25.8,,25.3,,47,,53.6,,41.9,,18.1,,3.2,,4.4,,9.4,,28.4,,28,,26,,311.1,,311.1,
OROOMIEH,40712,,1961-1990,,Mean Monthly Value,mm,32.3,,31.8,,50.2,,58.5,,46.6,,15.1,,4.1,,2.6,,3.9,,31.2,,37.2,,32.8,,346.3,,346.3,
BANDAR ANZALI,40718,,1961-1990,,Mean Monthly Value,mm,192.9,,127.5,,109,,55.8,,48.1,,48.4,,46,,120.3,,217,,359.1,,266.9,,227.7,,1818.7,,1818.7,
RASHT,40719,,1961-1990,,Mean Monthly Value,mm,147.9,,119.2,,111.3,,61.6,,53.3,,38.7,,40.2,,73.8,,142.6,,230.2,,170.7,,166,,1355.5,,1355.5,
ZANJAN,40729,,1961-1990,,Mean Monthly Value,mm,33.5,,30,,45.7,,56.5,,46.2,,7.3,,4.6,,3.4,,4.2,,26,,28.8,,29.2,,315.4,,315.4,
RAMSAR,40732,,1961-1990,,Mean Monthly Value,mm,86.5,,73.7,,85.6,,46.9,,47.6,,51,,36.4,,77.5,,152.5,,273.1,,172.9,,124.9,,1228.6,,1228.6,
BABOLSAR,40736,,1961-1990,,Mean Monthly Value,mm,96.1,,67.2,,67.2,,31.9,,19.3,,20.8,,25.1,,61.3,,82.2,,163.2,,119.3,,131,,884.6,,884.6,
SHAHROUD,40739,,1961-1990,,Mean Monthly Value,mm,28.6,,19.3,,28,,23.7,,21.5,,3.9,,1.5,,1.8,,2.3,,7.9,,9.4,,19.8,,167.7,,167.7,
MASHHAD,40745,,1961-1990,,Mean Monthly Value,mm,33.1,,36.4,,52,,48.8,,25.5,,3,,0.9,,0.7,,1.5,,11.2,,15.7,,26.9,,255.7,,255.7,
TEHRAN MEHRABAD,40754,,1961-1990,,Mean Monthly Value,mm,37.2,,34,,37.4,,27.8,,15.2,,2.9,,2.5,,1.4,,0.9,,13.7,,20.6,,36.3,,229.9,,229.9,
SEMNAN,40757,,1965-1990,,Mean Monthly Value,mm,22.1,,20.7,,22.7,,13.7,,14.6,,3.1,,1.9,,3.1,,1.4,,7.6,,9.1,,19.5,,139.5,,139.5,
KERMANSHAH,40766,,1961-1990,,Mean Monthly Value,mm,67.1,,62.9,,88.9,,69.9,,33.7,,0.5,,0.3,,0.3,,1.3,,29.2,,54.3,,70.3,,478.7,,478.7,
HAMEDAN NOZHEH,40767,,1961-1990,,Mean Monthly Value,mm,46.3,,43.6,,49.4,,49.8,,37.8,,3.7,,2,,1.8,,0.8,,20.7,,26.9,,40.9,,323.7,,323.7,
ARAK,40769,,1961-1990,,Mean Monthly Value,mm,54.7,,47.6,,53.1,,53.4,,31.9,,1.5,,0.6,,1.1,,0.7,,18.5,,31.6,,51,,345.7,,345.7,
KHORAM ABAD,40782,,1961-1990,,Mean Monthly Value,mm,86,,73.1,,82.5,,71.6,,36.5,,0.3,,0.1,,0.2,,1.2,,23.5,,54.3,,83.6,,512.9,,512.9,
DEZFUL,40795,,1961-1990,,Mean Monthly Value,mm,100.6,,60,,50.2,,34.5,,9.2,,0,,0.2,,0,,0,,7.4,,39.1,,83.2,,384.4,,384.4,
ESFAHAN,40800,,1961-1990,,Mean Monthly Value,mm,17.1,,14.1,,18.2,,19.2,,8.8,,0.6,,0.7,,0.2,,0,,4.1,,9.9,,19.6,,112.5,,112.5,
BIRJAND,40809,,1961-1990,,Mean Monthly Value,mm,31.3,,32.4,,35.1,,31.6,,7.1,,0.3,,0.1,,0.2,,0,,2.6,,8.4,,19.7,,168.8,,168.8,
YAZD,40821,,1961-1990,,Mean Monthly Value,mm,10.3,,11.2,,12.9,,9.1,,4,,0.1,,0.1,,0,,0.1,,1.4,,2.7,,8.1,,60,,60,
ABADAN,40831,,1961-1990,,Mean Monthly Value,mm,34.8,,23.1,,18.4,,14.8,,4,,0,,0,,0,,0.1,,3.1,,20.4,,30.4,,149.1,,149.1,
KERMAN,40841,,1961-1990,,Mean Monthly Value,mm,29,,26.7,,32,,19.5,,8.6,,0.5,,0.7,,0.6,,0.3,,0.7,,5.1,,18.4,,142.1,,142.1,
SHIRAZ,40848,,1961-1990,,Mean Monthly Value,mm,79.8,,49.8,,48.4,,30.6,,6.6,,0.2,,1,,0.1,,0,,5.2,,20.7,,63.2,,305.6,,305.6,
